year,agricultural_mean_frp,other_mean_frp,agricultural_median_frp,other_median_frp
2010,17.922599957237544,22.850102546573233,8.0,11.5
2011,17.062659918459158,17.47817962628089,8.4,9.6
2012,13.806299580027998,19.02360081541883,7.7,10.4
2013,17.21645342886387,16.009992035777735,8.4,9.9
2014,13.830425531914894,16.146394513083102,7.6,10.1
2015,22.020559845559845,19.940255598280935,9.7,12.0
2016,15.450154162384377,18.310929284963198,8.6,11.0
2017,17.797095922557936,18.809280575539567,9.6,11.4
2018,13.393374956642386,17.06558837890625,7.9,9.7
2019,17.883267326732675,20.13008294202835,7.1,11.4
