hour,agricultural_proportion,other_proportion
0,0.0,0.0
1,0.009788503253796096,0.020838330649060887
2,0.371529284164859,0.3317037324713202
3,0.1601409978308026,0.15287026777997342
4,0.39449566160520605,0.39783202165693854
5,0.049078091106290675,0.07683872662684044
6,0.00013557483731019523,0.0
7,0.0,0.0
8,0.0,0.0
9,0.0,0.0
10,0.0,0.0
11,0.0,1.9037393247817364e-05
12,0.0016811279826464208,0.002665235054694431
13,0.008351409978308025,0.013307137880224336
14,0.0021420824295010845,0.0010965538510742802
15,0.0,0.0
16,2.7114967462039044e-05,0.00011422435948690418
17,0.0012744034707158351,0.0018123598371922128
18,0.0013557483731019523,0.0008871425253482891
19,0.0,1.522991459825389e-05
20,0.0,0.0
21,0.0,0.0
22,0.0,0.0
23,0.0,0.0
